sentiment,text,length
1,"I expected the artwork to be similar to Tom Cross, but this ended up being a bunch of poems that don't even rhyme. Nice pics but the best image is on the cover which is the one we see here on amazon. The rest are not what I expected at all.",240
1,"If you're an absolute newbe, this is probably a good book for you.If you have any experience at all, pass on this one.",118
1,Waste of money. The fabric is very thin & not very soft. My daughter takes naps in the pack n play. I bought these because I was worried about using a sheet that's too big. All the SIDS warnings say 'only used approved snug fitting sheets.' Well because this sheet is so thin I have to place a burp cloth or towel under her anyway. So I could have saved $10 and just put a towel down.,384
1,"Have always purchased gold toe socks. Although listed as my size, these socks were made with less material - they were not as tall going up the calf and did not stay up like they used to. I compared these to ""older"" gold toe socks and these were definitely made with less material and not as good. Seems to be a ""cost cutting effort"" on the manufacturer??? Will not buy them again.",381
1,"Quite simply, the hiss/chirp that frequently occurs (sorta reminds you of playing a scratched CD) is irritating enough that you'll switch off your iPod. I bought this for a 2,000-mi road-trip and stopped using it after about 100 miles into the trip. Neither switching frequencies nor moving the iPod/wiring all around helped.Luckily, the car I used on my last road-trip had an AUX input (direct iPod to audio-jack connection) so I only used this gadget to keep the iPod charged. Ended up using the iPod the entire 4,600-mi trip!",528
1,"I don't undertand the hype...and found the musical fairly uninteresting. Now the ""drowsy"" part makes sense.",107
1,"I like Jackie Chan, so I keep getting suckered into these cheezy films hoping for something better. Even my teenage son who loves martial arts will not watch it...buyers beware!",177
1,"I can't believe I wasted all that time on a movie that was not worthwhile. The storyline is BORING. It's predictable and drags on and on and on. As far as the action goes, it's a disappointment, compared to the other recent Donnie Yen movies. Only reason I watched this is for him, since they put his name on the top of the casting list but he only plays a relatively minor role in the movie. Not recommended. Don't waste your time.",432
1,"It's dawson creek meeting scary movie. I was wondering if this movie was a horror or a comedy. The acting is so bad, the killer is laughable in his/her disguisement.The dialogue is ridiculous.My opinion is : it's not derisive enough to be a great comedy and not serious enough to make you scared ! So what is it ? It's like the director wanted to make a comedy but his sense of humour wasn't good enough.Also it's so predictible. I knew who was the killer as soon as all the characters have been introduced (there is not enough possibilities indeed).SKIP THIS ONE !",565
1,"I bought this in X-Large for my 65 lb pitbull. It was WAY too small. After ""forcing"" it on, he was clearly uncomfortable and unable to walk correctly. The ""legs"" just ride up and get stuck near the dogs chest. When he is walking, you can't see any of the costume anyway, because it is all facing the ground. Bad pattern. Cheap material. I can't imagine this fitting any dog, regardless of size. Don't waste your money.",418
1,The exercises in this dvd are awkward. I have attempted to do the exercises several time with no result. Iwould not purchase this dvd again.,140
1,"Note that this version has been cut by 20 minutes (the full-length version is also available here on Amazon), i.e. there is no reason at all to be interested in this version unless, for reasons that can be known only to yourself, you have the truly wierd desire to see a Jess Franco movie with the squelchy bits cut out.",320
1,"I've been subscribing to Time magazine for as long as I can remember. Liked the newsweekly format. They have shifted their editorial focus so far to the left over the last few years that I'm finally pulling the plug. I want the news, not left wing ideology. Adios to Time magazine.",281
1,"This book is terrible, may be worth buying for the comic relief. I can't believe anyone does this--or that anyone would have so much free time on their hands and so little life that they would think of these techniques! You should see some of the thing they suggest. I saw the author on Rosie , and wasn't sure if he was serious or not so I checked out the book. I think he's serious. He says he's an MD--hm, hope he's a little better at treating patients.",456
1,I bought this set looking for 1080p. when i pluged in my xbox360 and turned on the 1080p option it did no work. i then looked in the tv manual to find that there is no mention of 1080p it stopped at 1080i. sucks huh,215
1,"I bought this book, but sent it back immediately. Unless you're a screenplay-writing-student, this book is of little value to you. It literally goes like this:Man screams: AARGH! Woman cries: What are you doing? Couple leaves room.All in all: think carefully if this is what you need. Don't buy it just for the scary cover!",323
1,"Ipod cover ordered was NOT what was shipped. It was an imitation and not an original EZ Skin. It did not have clip, necklace or film to cover screen. I had no informtion to return it. Needless to say, I would NEVER purchase from this seller again.",247
1,"Add my review to the 1 star protest. The game might be great, but I can't support a title that treats legit buyers like pirates.It was a bad idea for Mass Effect, and it's a bad idea for Spore.",193
1,"I just want to add my voice to the chorus of those who are saying that this DVD player is TRASH!! I bought it so that I could play multi-region DVDs, and as many other customers have attested, it works for a few months, then stops working entirely. About 8 months later, all it does is play audio CDs...and it doesn't even do THAT terribly well (a slight scratch will skip audio CDs, and that is just plain unacceptable). You'd be better off throwing your money into a fireplace than buying this piece of crap.",510
1,"This novel, though well-written at times, has a major problem in its choice of characters, all of whom are pretentious expatriates who consider themselves SO superior to stupid Americans (that would be us, the readers). The story itself is ordinary and rather banal, distinguished only, and very occasionally, by the author's adroit use of language. Anyone looking for an actual story or characters outside a very small range of spoiled artistic types, however, should look elsewhere.",484
1,Was boring and couldn't even keep trying to read it. Not my taste of reading at all. I wouldn't recommend it!,109
1,This is just porn with a spiritual tag. The acting is laughable and the plot has nothing to do with the rapture. Even the $5.97 price was a waste of money.,155
1,"Product was fine, however, problem with the sizing itself. This product was undersized (i.e., and did not fit well) for how it was promoted by the saler. If you purchase this item, recommend that you buy at least one or two sizes larger.",237
1,They had a year to do this right. What happened?! When I got this it was a big let down. The reviewers who state that you should save your money and record this at home are absolutely right. The copy I recorded looks better than this one does. The extras (with no label at all) are unfinished scenes that are not worth buying. I guess they figured they could sell the fans anything. And they made us wait a year! For this?? Copies recorded at home are better looking!,467
1,"Bad acting bad editing, and only the most superficial points of the story were played out. The older BBC version was worthy though low budget.",142
1,"Kirkus summarized this book with ""a genial snooze"". How true! While I, too, enjoy reading about Martha's Vineyard, I expect the sleuth to do some searching for clues, which is at a minimum here. The solution is offered at the end almost as an aside to tending Joshua and worshipping Zee. Craig's earlier books are a bit better; I won't read any future ones.",357
1,Don't waste your money on this commercial rap garbage! buy still i rise by 2pac & the outlawz,93
1,"I also purchased a camera and was very pleased with the camera. However Amazon's web site suggested I should also purchase this camera case. When it was received, the case was too small for the camera. Due to the cost of returning the case vs the cost of the case I elected to toss the case. I feel there was misleading advertisement on Amazon's website",353
1,Only keeps coffee tepid at best. Actual element gets very hot; it just doesn't reach the coffee. Item is small enough to stay on the table. It makes an expensive coaster.,170
1,"...a too sweet Joan, an unconvincing Joan, a boring Joan. The flames were too long in coming.",93
1,"Within two months of purchase and very liitle use the Black & Decker BL600B blender started to emit a burning smell and smoke began to appear. It was unuseable at this point, I would not recommend it at all.",207
1,"This book is dry and unenjoyable and has zero practical advice. It is poorly written and basically is the same concept repeated over and over. I don't think it will help make the wait easier, after reading this, you will probably be more desperate than ever to find your ""someone."" For a really good book on singleness, I would recommend ""Sacred Singleness"" by Leslie Ludy.",373
1,"her first single just on the beat jacks Mary J.Bliege beats from 92-94&also Bites Lauren Hill Sound circa 1998.vocally she is alright.at the most she reminds me of a So-So Taylor Dayne. she ain't bad,but doesn't really move me that much either. the material I can take or leave on a whole.",289
1,"I thought the author couldn't do worse than his job with The List of 7--how wrong I was! The 6 Messiahs is an endless stream of predictable moments and horrible plot development. Characters and situations seemed trite and confusing and the last part of the novel was a complete waste. I still believe Frost has the potential for great exciting fiction, but somehow he fails to deliver.",385
1,"I bought this product based on amazon user reviews. Boy was I led astray. This product is worthless. One review said great for dust bunnies & toddler crackercrumbs. Let me assure you, this lethargic excuse for a broom vac will not do the job. Run time is short, power is positively anemic. Do not waste your money,electricity or time on this!!",343
1,pele will always continue tobe the true master&king of soccer not maradona,74
1,"After the first wash of this bowl it's clear the interior isn't stainless steel. Seems more likely that it's just plain aluminum ... or the coating is either bad or nonexistent. It's now dull and almost chalky on the inside of the bowl, unlike my other stainless mixing bowls by another brand, always shiny and smooth. Won't be buying this brand again.",352
1,"I cannot believe that you are taking such advantage of parents- this toy is about $10 in most stores. I suppose if someone is dumb enough to spend this much- they deserve it, however.....",187
1,I returned the product because it was poorly made. I could not assemble it as the holes did notalign in the base so I could insert the bolts. The instructions said the base would be preassembledand it was not. Very disappointed in Dewalt as they normally they sell quality products.,282
1,"bought for gift, but would not stay tuned and strings broke 1st day it arrived. Would not buy this again.",105
1,"For anyone to say Wicca is that of Satan is totally wrong!!! I raise my chidren in the religion along with thousands and thousands of others, and believe me my children are far better then alot of their ""christian"" friends. Before Anyone writes a book on any subject they need to THINK I feel here he is Just Another single minded person, Preaching on something he trully knows nothing about!!! He is full of lies and Total Mis-Truths!!!",437
1,Why these conservatives are acting like cry babies?Shut Up and dance baby!,74
1,"This book is more concerned with praising vices and poo-pooing virtues than with actual history. For example ""...Princess Victoria grew up to be narrow-minded and self-opinionated. She was also a terrible prude... Prince Albert... was even more of a prude than she was. He once said that the thought of adultery made him feel physically sick."" The rest of the book sounds like it was written by a British tabloid as well. I thought I was going to see something enlightening by reading this book. I was quite wrong.",514
1,"The handle never can be tightened, it keep moving around, you have to screw it every time when you use it. the pressure lock sometimes not move up, you have to re-adjust it, so you have to be there to watch it. It is very inconvenience, unfortunately once you open the package, you can't return it. You have to take what you bought.But It can save a lot of time in cooking, you only needs about 45 mins for those food need to cook over 3-4 hours in a regular pan. The taste is better too.",488
1,"I bought this DVD because my daughter loves House of Mouse, only to find out after purchase that the DVD cannot be played in this region. Do not waste your money",161
1,"Only one other reviewer had it correct. This is no better nor worse than Brittany Spears or Avril Lavigne. If you like that trash, then you'll like this.On the other hand, I do suppose it's better than Bruce Springsteen or Bon Jovi.",232
1,I must respect Bobby Fischer as a player. But I learned some stuff that doesn't make me respect him as a person. I have read more things about Fischer which this book leaves out and should have been put in.,206
1,"I've had one of these for more than 6 months, to connect a Moto PEBL into our phone system.It works very poorly. Making outgoing calls is fine, but every once in a while when an call comes in we pick up using a handset but can hear nothing and neither can the caller.It cannot be used to charge the PEBL.Another problem is that it interferes badly with our 802.11b WiFi system (it effectlvely disables a wireless music streaming device in the same room). We've unplugged it; I wish I had returned it.",500
1,This is getting totally pitiful. The mini-series junk trying to span stories through all the different genres of StarTrek in my opinion belongs in the trash. Pocket Books is making a big mistake. I for one only care for the original cast books. I buy one to read (which I've read them all) and I get no ending unless I go read Next Generation and then the next genre and the next and the one after that.YUCK!!,409
1,this cologne smells like ass one really smells like bad BO. and the rest are just bad wouldnt recommend to anyone,113
1,"Robbins spends to much time rambling on in this one. The story is nice, if a bit overtly contrived to get his point(s) across, but he should have put it in a package about half the size.",186
1,Was looking for a muzzle which would gently keep my big puppy from trying to eat everything. It took approximately 30 seconds for the puppy to remove it when it wasput on properly. Would not recommend this to anyone. The seller was good and delivered product very quickly.,272
1,"This is NOT the original cut...this is the special fan cut, which is far inferior to the original. It needs to be marked as such.",129
1,This book was not especially helpful in our case as it caters especially to autism and if you have a child with another special needs diagnosis it will not be very helpful to you.,179
1,"Incubus Dreams was a long book and it felt even longer. I can barley remember the plot one hour after I finished it, but I wish I could forget the awful sex-scenes. But that I hated the plot and the sex is only a personal opinion. The worst about the book is the editing. There are typos on almost every page. That is simply unacceptable.",338
1,This book is a waste of good paper. I don't even know why anyone one would buy it!. If you want what's in this book go ask a five year old to write something for you. I know that will be much better than this mess,213
1,"I was REALLY REALLY thrilled when I learned that this movie was going to be released on DVD and placed order instantaneously. However, I was REALLY REALLY disappointed when I received it because the movie is split into 2 on a 2-side disc!!!This is clearly an insult to the customers. I wish Amazon could've indicated earlier, so that I could avoid buying it. I'd rather wait until they release a more decent version with the whole movie on 1 disc and the extras on another disc! Shame on you, Universal Studios, for doing this kind of ""unethical"" thing!",553
1,"You know I really love Bewitched B&W or Color , I'm so sorry to find out the dvds are not uncut...So beware Bewitched on dvd!",125
1,"hted this movie , should have been on a different film stock too . Looked like a home video .",93
1,"I was looking for a great, affordable 5-button mouse. This one worked right off the bat--once I plugged it in. I was surprised that it came with a floppy disk with the drivers on it---who even USES floppys anymore!? I was able to dl drivers off the website though, so that wasn't a big deal. My biggest disappointment with this mouse is the fact that it is SOOOOO jumpy! It skips ALL over the place, and that is REALLY annoying. For this ONE reason, a very big one (to me), I rate it at a 2.",491
1,"I bought this to keep bottles in the baby's room (and hopefully avoid trips downstairs to the kitchen fridge in the middle of the night). It seems to do absolutely nothing. I understand that it is only intended to cool to 20 degrees below the room temperature, but when I plug this device in, all it does is make the quiet hum that you would expect from a mini-fridge, but doesn't cool anything or heat anything, or even keep cold things cool or warm things warm. This device was a complete failure.",499
1,I have really enjoyed this book! I have been learning a lot for my own healing. The reason I bought it was because a few months back I was able to read a portion of the book and I was hooked! I think this book is a must read for people struggling with ritual abuse!!,266
1,The thing sucks.. it has no power switch. You have to unplug the 11 pin power plug that is very delicate to power it off.. if not then it keeps spinning your HD and gets very hot. plus it stopped working after a month. Do not buy..,231
1,THE HONDA I GOT WORKED FOR 20 MINS AND THEY WILL NOT REFUND YOUR MONEY OR GIVE YOU CREDIT SO DONT BUY ONE THEY DONT WORK 200.00 GONE FOR JUKE.,142
1,"yes, i know my review is really late, but i just now tried to install this bracket...i had originally bought it nearly a year ago, but never got around to installing it, as i didn't feel like removing hosing from tankless water heater...but today, during yearly maintenance i tried to install it, and found it didn't fit, i was sent the wrong bracket, i was very disappointed...",378
1,The item received was not compatiable with the IPOD Nano 4th generation for charging the IPOD. Mis-information with the item description on Amazon. Went thought alot of trouble returing the unit and still have not received a refund; Just alot of grief. Beware when you purchase an FM Transmitter for an IPOD from Amazon.,320
1,u guys out there this book here will help you become a extra or a movie star you should read it!!!!!!!!!!!!!,108
1,"Oh, this book is SO full of it! If they had done ANY research AT ALL they would have found out that Shannen Doherty is a wonderful person, and if she got SO many people to HATE her character THAT much, then that proves what a GREAT actress she is! Her character had to be a mean, snobby person, and she was great at ACTING that part out, but in real actual life she is wonderful, and kind. These people need to get a life!",422
1,"These spatulas melt really easily, and then warp. Not worth anything really. The handle is nice, but worthless with a melted spatula.",133
1,"I wouldnt say this product is terrible, but rather cheap.. My hair is pretty long though.. These clips do not hold well even for a minute or two.. Sections must be very small in order to work. I think next time I will just use metal ones.They DID arrive pretty fast though!",273
1,"I liked Joss Stone's first CD, but I can't even stand to listen to this one. It is so over done, it's obnoxious. The songs are just okay. I like R&B (love beyonce), but the production is so busy, I honestly can not listen to a song the whole way through. It's like the production is working again the song.",306
1,"Bernie was awful, I expected to see a dead man acting funny but this wasn't the same Bernie , even though it was made to look like him.",135
1,"I picked this album up in a local mall where Katie was performing, she signed it for me which was greeeaaaattt!!!!!!! After listening to the whole album it was hmmmmmm to be straight only fair. Production was not too hot, her voice sounded better in the mall than on the CD and the lyrics were too generic. I know why the used price on here is three dollars, I dont think ill be able to make some cash selling the autograph on e-bay someday.sorrrrry katie---------ya look good anyway and ill still come to see you next time your at the mall. Peace",547
1,"Two issues:1. Your parts selections show 1998 Dodge 2500 trucks but allow no distinction between gasoline and diesel models on the parts, specifically brake rotors and the steering pump.2. There is no link that I can find on your web that allows a specific question about a part. Only a review of the part is allowed which is what I am using here, but I am not reviewing the part/s but the means to ask questions about parts. Thank you.David",441
1,all i have heard is that pepsi blue commercial and i can guarantee you the rest of this stuff is just as bad,108
1,"Despite its title, this volume does not take us beyond ""The Godfather."" It indiscriminately mixes essays by writers who understand the Italian American experience (such as Richard Gambino) with those who only pretend to (such as Gay Talese) and those who actually despise their heritage (such as Marianna De Marco Torgovnick). As such, it does a poor job of countering negative stereotypes.",390
1,"This can started to leak at the seem, hate this product. Uncomfortable to use. I lost more gas with this than with any of the container I owned before. Don't waist your money. Didn't even get one season of use out of this product. Just ordered the No Spill Can that is sold on Amazon it seems to have good reviews.No-Spill 1415 1-1/4-Gallon Poly Gas Can (CARB & EPA Approved)",375
1,I really tried with an open mind to like this show. After 3 episodes I just couldn't take it anymore! The only thing that made me watch 3 episodes was how hot the guy Niko was having an affair with. I just didn't find the characters likable. I felt like Victory was overly obsessive and just plain boring....,308
1,"I have listened to Pink Floyd probably once a week since 1974. It is in my will they will play DArk side of the Moon at my wake! I cry at times I am so overwhelmed with the music. This album makes me cry for a different reason. It has no life, its old, its boring, its repitious. I feel old having to listen to this. It has no heart, no juice. I literally cant listen to more than 1/2 a song before I change to another CD. The David Gilmour Live Concert DVD. I guess its his and Pink Floyds final hurrah!",504
1,"In the past 5 years I have purchased 5 of these coffee makers (3 for my daughters and 2 for myself.(not from Amazon). As soon as the warranty date expires, something goes wrong: on/off switch doesn't work anymore.....coffee isn't hot enough when through brewing.... Only 1 was replaced because it was still under warranty. When it's working it makes good coffee! Cost more to have it repaired so I would purchase a new one. Never again!",436
1,"Good films however the Ad is very misleading in as much as a Total Run Time of "" 700 minutes "" is advertised when in fact the actual total run time is less than 300 minutes...........",183
1,"I took this album because I had a gift certificate. dead skin mask, angel of death and die by the sword are the only ones worth listening to.",141
1,"This router is easy to set up and easy to use. The wireless networking is great, especially with a laptop. However, the router is a little two buggy.I've had this router for about a year, and it seems that the device needs to be reset about once a week. The network slows down, particular websites will fail to load, and eventually, the entire wireless network shuts down.When it works, the device is fantastic, but it is too high maintenance.",443
1,this dvd is 1 hr longim not gonna lie to u its not that great i bought it for 5 dollars with steve austin early years that is kinda worth it he austin is worse he is a jobber so what are u gonnan expect there is 12 matches in 5 4 mins so it is destened to be bad if i were u id buy some other cheap dvd this but if ur a person like me u would buy it bc i buy mostly buy every dvd or vhs so the choice is urs girls and guyssincerlyLDL,433
1,"Gee, this movie sure was pitiful. Not only was the lizard unrealistic looking, it was the typical average unimaginative green thing with mega fingernails. Where's the creativity? As usual, remakes of old masterpieces flop, and this is a prime example.",251
1,"I am on my 5th child, from ages 14 to 6 months...and having used several, this is the WORST organizer I've ever used! Going back immediately. The so-called adjustable shelves CONSTANTLY come out of their ""locked"" position, causing the entire shelf to fall down on the one below it! Pinched my finger in the process, so really glad I didn't ask my younger daughter to get the baby food. Thought at first that I put it together wrong, but didn't, it's really just that poorly designed and therefore useless.",505
1,"A friend loaned me this book because it was 'so great'. I tried to read it, then I tried to skim it. Even skimming was painful. The message (millionaires accumlate wealth by sending less) was so simple it could have been written on a postcard. This message was repeated endlessly. No actionable steps were given. The book is a complete waste of time. Now, I'm reconsidering my assessment of friends who have liked this book.",424
1,"For a critical review of this book and of the whole of Leyton's work you may profitably read'A Critique of Leyton's Theory of Perception and Cognition. Review of Symmetry, Causality, Mind, by Michael Leyton.'by Hendrickx M. and Wagemans J. Journal of Mathematical Psychology, Volume 43, Number 2, June 1999, pp. 314-345.It may save you a lot of money. If you can't find the paper just contact me at marcel.hendrickx@chello.be . I'll be glad to inform you.",455
1,"Poor construction, software that is difficult to install, unable to run when installed, and requires you to purchase a license to get a working copy. Buy something else that actually works.",189
1,"Why can't I rate -1 star? Maybe my expectations were raised too high because of the enormous hype surrounding this film but buying the DVD was one mistake to learn from. Throughout the entire movie I was waiting for something scary to happen. But no, right up until the end it remained boring as boring can be. People who like watching trees and some dead wood might like it. Don't expect a storyline or plot, there just isn't any. I watched it 3 times thinking I might'ave missed something. But no...it's just a 95 minute documentairy on dead wood.",549
1,Anyone who'd have a real live suicide to promote a CD has to suck. The only way they get people to hear them is by breaking laws and killing people. I agree with the Thai guy's review from above.,195
1,"while adorable at first, the collar did not last. for $25 (after shipping) it should have lasted much longer than the 9 months i got out of it. the ""leather"" started peeling after about 6 months and the sparkles were gone after only about 4. i'm amazed at the poor quality.",273
1,"I will confess that I TRIED to like Creed. I heard ""Higher"" on the radio many times, and TRIED to understand the lyrics and not grind me teeth as the guitar player tried to remove his fingers from between the strings. The material on this album is horrible and I would strongly discourage anyone from buying it. All the guitars riffs are nothing more then noise. Religious lyrics? You can't even understand them! Does Scott Stapp have something stuck in his mouth?",464
1,The information in this PAMPHLET is in all of her books so not even worth paying for. Altho I love her approach to training and she has much helpful info in all of her books I felt this was just an effort to get a few bucks extra.,230
1,"Bought this as a lighting deal, even had the screen shot to prove that it was supposed to be a certain price. No response to emails to fix the price and no contact numbers to fix the problem. Pretty sad that you can't get customer service from one of the biggest online sellers in the world.",291
1,"I am a huge fan of Elizabeth Adler (Legacy of Secrets and Fortune is a Woman are two of my favorites) but if I didn't know better, I would think that this book had been written by Danielle Steele, and I don't mean that as a compliment!Adler should have just written an article on France and submitted it to a travel magazine, would have made for more interesting reading.This book was very boring, and the main characters unbelievable.I kept wondering, ""who is paying for all this??""",483
1,"Very simply - no matter how beautiful a voice he has, I want to hear songs that I understand. Why can't he do a CD totally in English?",134
1,"This movie seemed to drag on and on and on. A lot of the scenes were irrelevant to the story line. Very little humor, especially for Jason. There really was no ""ups and downs"" to the movie, but rather just a line of garbage. Very disappointed.",243
1,"Well I strongly discourage anyone from buying this or any other product from "" THE SPORTSMAN'S GUIDE"". I just receivied my fly poll and reel and it showed up with part of the poll sticking out of the mangled box and broken! when I called customer service and spoke with supervisor by the name of ""PAIGE""they said ""OH SORRY BUT I GUESS WE JUST WRECKED YOUR CHRISTMAS"" horrible service and if I could give them a negative ""star"" I certainly would! again I'd like to thank ""paige"" for her sarcasm, that really helped the situation!",528
1,"I took the low-brow approach and got this as a book-on-tape for a long drive. For a few hours, it really had my attention. Good story, good characters. Then, the ridiculous ""trial"" began, and my opinion changed. The book became completely pathetic, absurd and just plain dumb. All the time I invested in this book was totally wasted. I wish I could go back in time and un-read this book.",387
1,"I've had this phone for a little over a year. Never got the promised rebate. It died. ATT refuses to fix it. Only solution is to buy a new one. Yeah right! It is a pitty but ALL US cell phone companies are the pond scum of American business. I've had a cell phone form the start of the technonlgy,1984, and ha ve had several carriers. All dishonest.",349
1,This movie is terrible. The only redeeming quality is the violence. The violence scenes are really violent. It's the sort of comic book type gore. The rest of the movie was a waste of time.,189
1,I should have read the reviews a little closer. This is not a Bon Jovi authorized documentary. You can find better discussions on YouTube. Don't waste your time or money.,170
1,"Ahhhhh, to get flithy rich on the hopes and shattered dreams of the folks that forked over hard-earned money for this sloppy nonsense of a book. The real Secret in life is work hard, tell the truth, don't try to fool people, and then....and only then..... May the Force be with you!!!!",285
1,"If it is, then I will imediatly torch the books to bits and pieces. The book proves one point to me: burning books and their society is much better than ours where Farenheit 451 can be published",194
1,"I love the Woods. The illustrations here are beautiful as ever; if a little subtle (unlike some other titles of theirs). They are also a little monotonous since almost the entire book takes place in the same room, same colors, same details with just one extra character subtly introduced on each page. My 22 month old is not impressed - maybe he's too young for this one. He LOVES 'Quick as a Cricket' and 'The Alphabet Adventure'.",431
1,"VERY WEIRD MOVIE, NO BASIC PLOT, I DON'T KNOW HOW THE AFI RANKED IT IN THE TOP 100 MOVIES OF ALL TIME.",102
1,So disappointed. Found something similar by Matchbox and went with this. What a mistake. pieces don't stay together. reassembling to put back in carrying case is impossible. you have to have your own vehicles to place with this toy which is deceiving in the packaging. This was nothing but disappointment each time we pulled it out. I have thrown it away and my 5 year hasn't missed it.,386
1,"I made this gum with my 8 and 4 year old daughters. I ended up making 99.9% of the recipe myself. The gum is impossible to stir and never had a smooth consistancy. The food coloring (red and blue) stain everything and is impossible to get off of your hands...you HAVE to use you hands to knead the gum. The worst part is that even after all of that, the gum tasted terrible! I highly doubt that the manufacturer truely tested this process with parents and children. Frustrating and a waste of time.",498
1,"This has to be the most narcissistic book I have ever read. Another reviewer described it as self-indulgent, and I agree. I started reading this with the best of intentions, but then found myself skipping parts in the hope I would find something relevant and/or meaningful. I found this book to be nothing but private musings and opinions about the most trivial and mundane things, and I could not helping thinking ""who cares?"". At the risk of offending those who liked or even loved it, this was nothing but nonsense and a waste of time.",538
1,"While some info in the book might still be relevant, it was printed in 1990. This is much to long ago considering there have been 15 years of additional research on reading theory and practice. Had I realized the publication date, I would not have bought it.",258
1,This movie was one that pushed what people would consider something worth watching. It was a pile of trash and that was the best I can say about this piece of-,159
1,"I am so, SO disappointed in this album. When I think of Unplugged I think of raw, in-depth performances. Alicia is great on this album but I did NOT buy it to hear her back-up singers sing over her and most of the songs. This album was a waste of my money. Wild Horses was one of the worst covers (thanks to Adam Levine) that I've ever heard. I re-sold it the day after I bought it.",382
1,"This cd is stupid and a waste of money trust me dont buy it, just stick with the first one.",91
1,I bought 3 of these for my special education classroom. They broke almost immediately. I'd call it a piece o cr**.,114
1,Gorky's was as ugly a mind as literary culture has ever yielded up. Why one would be interested in the etiology of this horror is beyond me. Why not just study colonoscopic videos and be done with it?,200
